getpwuid_r did not find a match for uid 501
Filtering the log data using "process == "FloppyTurd""
Timestamp                       Thread     Type        Activity             PID    TTL  
2025-07-06 21:16:00.970881-0500 0x57365c   Default     0x0                  88611  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UIHomeAffordanceHostSceneSettings> on FBSSceneSettings
2025-07-06 21:16:00.971111-0500 0x57365c   Default     0x0                  88611  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISystemShellSceneHostingEnvironmentSettings on FBSSceneSettings
2025-07-06 21:16:00.971576-0500 0x57365c   Default     0x0                  88611  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneRenderingEnvironmentSettings on FBSSceneSettings
2025-07-06 21:16:00.972064-0500 0x57365c   Default     0x0                  88611  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneTransitioningHostSettings> on FBSSceneSettings
2025-07-06 21:16:00.972900-0500 0x57365c   Default     0x0                  88611  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingContentSizePreferenceClientSettings> on FBSSceneClientSettings
2025-07-06 21:16:00.973076-0500 0x57365c   Default     0x0                  88611  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneHostingTraitCollectionPropagationSettings on FBSSceneSettings
2025-07-06 21:16:00.973380-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (UIKitCore) [com.apple.UIKit:UIScreen] Evaluated capturing state as 0 on <UIScreen: 0x101407240> for initial
2025-07-06 21:16:00.973604-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (UIKitCore) [com.apple.UIKit:UIScreen] Evaluated capturing state as 0 on <UIScreen: 0x101407240> for CADisplay KVO
2025-07-06 21:16:00.974950-0500 0x57365c   Default     0x0                  88611  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingSheetPresentationSettings> on FBSSceneSettings
2025-07-06 21:16:00.975238-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (libAccessibility.dylib) [com.apple.Accessibility:AXSupportCommon] Read CategoryName: per-app = 1, category name = (null)
2025-07-06 21:16:00.975448-0500 0x57365c   Default     0x0                  88611  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingSheetPresentationClientSettings> on FBSSceneClientSettings
2025-07-06 21:16:00.975530-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (libAccessibility.dylib) [com.apple.Accessibility:AXSupportCommon] Read CategoryName: per-app = 0, category name = (null)
2025-07-06 21:16:00.975827-0500 0x57365c   Default     0x0                  88611  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingEventDeferringHostProviding> on FBSSceneSettings
